model_family,latent_dim,seed,fold,subject,feature_view,n_features,mean_ks,energy_distance,mmd_rbf,reproduction_error
unconditional_vae,3,42,0,subject27,original,11,0.276010101010101,0.7438898328001775,0.15110808179222368,9.71445146547012e-17
unconditional_vae,3,42,0,subject27,reduced,9,0.30617283950617286,0.7969189730126898,0.18417835890545176,0.0
unconditional_vae,3,42,0,subject34,original,11,0.2823232323232323,0.6570853868110214,0.12639780284922875,5.551115123125783e-17
unconditional_vae,3,42,0,subject34,reduced,9,0.2577160493827161,0.4370608630545125,0.09479014371336669,0.0
unconditional_vae,3,42,0,subject35,original,11,0.23173009161381256,0.4517990047740814,0.07887338342551731,8.326672684688674e-17
unconditional_vae,3,42,0,subject35,reduced,9,0.24388458225667525,0.4360708638556683,0.08787724146552467,0.0
unconditional_vae,3,43,0,subject05,original,11,0.302020202020202,0.6985727959052133,0.13714736411004624,8.326672684688674e-17
unconditional_vae,3,43,0,subject05,reduced,9,0.3108024691358025,0.7326080884564519,0.17277055067914449,0.0
unconditional_vae,3,43,0,subject13,original,11,0.1621212121212121,0.1507484730334947,0.019758956183305365,7.806255641895632e-17
unconditional_vae,3,43,0,subject13,reduced,9,0.1527777777777778,0.10545872180509086,0.019166936681226154,0.0
unconditional_vae,3,43,0,subject19,original,11,0.2095959595959596,0.24127274928642883,0.04422010762153583,5.551115123125783e-17
unconditional_vae,3,43,0,subject19,reduced,9,0.23240740740740742,0.26756557622228616,0.05864638599506522,0.0
unconditional_vae,3,43,0,subject24,original,11,0.17676767676767677,0.14610292539737824,0.017262506374865372,9.020562075079397e-17
unconditional_vae,3,43,0,subject24,reduced,9,0.166358024691358,0.10521078782013316,0.014786648509733546,0.0
unconditional_vae,3,43,0,subject27,original,11,0.2861111111111111,0.850449950135117,0.1712729334485934,5.551115123125783e-17
unconditional_vae,3,43,0,subject27,reduced,9,0.3111111111111111,0.908197624546041,0.20782662063264035,0.0
unconditional_vae,3,43,0,subject34,original,11,0.28080808080808073,0.6729610245946009,0.12407608531499381,8.326672684688674e-17
unconditional_vae,3,43,0,subject34,reduced,9,0.2589506172839506,0.4584049274443176,0.10101735322797822,0.0
unconditional_vae,3,43,0,subject35,original,11,0.22751937984496126,0.38187312042673494,0.06539517964027763,8.326672684688674e-17
unconditional_vae,3,43,0,subject35,reduced,9,0.24067614125753659,0.3817622491953676,0.07475905789359272,0.0
unconditional_vae,3,44,0,subject05,original,11,0.3068181818181819,0.6373713453104393,0.12329359849404786,8.326672684688674e-17
unconditional_vae,3,44,0,subject05,reduced,9,0.30185185185185187,0.5849058190167695,0.13855548762893055,0.0
unconditional_vae,3,44,0,subject13,original,11,0.1851010101010101,0.2301476329138712,0.03488015941846889,9.020562075079397e-17
unconditional_vae,3,44,0,subject13,reduced,9,0.17469135802469138,0.13274915665930287,0.024983477633025997,0.0
unconditional_vae,3,44,0,subject19,original,11,0.19242424242424241,0.23543356938488325,0.047924311906609174,7.632783294297951e-17
unconditional_vae,3,44,0,subject19,reduced,9,0.20555555555555557,0.21849638595253174,0.04872425946149539,0.0
unconditional_vae,3,44,0,subject24,original,11,0.20126262626262628,0.18295180004710065,0.028208343661637714,8.326672684688674e-17
unconditional_vae,3,44,0,subject24,reduced,9,0.1882716049382716,0.1370655409870798,0.025041247229591,0.0
unconditional_vae,3,44,0,subject27,original,11,0.2840909090909091,0.8329719041939967,0.1700052792080018,8.326672684688674e-17
unconditional_vae,3,44,0,subject27,reduced,9,0.30709876543209874,0.8682046865361221,0.1993215759555521,0.0
unconditional_vae,3,44,0,subject34,original,11,0.31590909090909086,0.7154912368983988,0.13714259464891776,8.326672684688674e-17
unconditional_vae,3,44,0,subject34,reduced,9,0.29660493827160495,0.5363101309314859,0.12000742198780323,0.0
unconditional_vae,3,44,0,subject35,original,11,0.20489781536293164,0.3800689084734943,0.06251889967568525,8.673617379884035e-17
unconditional_vae,3,44,0,subject35,reduced,9,0.22329888027562447,0.39086131374790334,0.07348028787598115,0.0
unconditional_vae,8,42,0,subject05,original,11,0.21035353535353532,0.32397343689647196,0.06913353170347036,6.938893903907228e-17
unconditional_vae,8,42,0,subject05,reduced,9,0.23024691358024688,0.36116045724018964,0.0909579698062506,0.0
unconditional_vae,8,42,0,subject13,original,11,0.20782828282828286,0.2288621713671386,0.03700490510169807,8.326672684688674e-17
unconditional_vae,8,42,0,subject13,reduced,9,0.20987654320987653,0.18153121109543413,0.039187914504648313,0.0
unconditional_vae,8,42,0,subject19,original,11,0.23358585858585854,0.2668987758946879,0.04973231509268594,5.551115123125783e-17
unconditional_vae,8,42,0,subject19,reduced,9,0.22777777777777775,0.26781102221183595,0.06674076332366885,0.0
unconditional_vae,8,42,0,subject24,original,11,0.14065656565656567,0.12026292000462169,0.014376961000088007,8.326672684688674e-17
unconditional_vae,8,42,0,subject24,reduced,9,0.1416666666666667,0.11574543452917796,0.0169863871654391,0.0
unconditional_vae,8,42,0,subject27,original,11,0.24393939393939396,0.4726487408032223,0.08876957743136393,8.326672684688674e-17
