model_family,latent_dim,fold,subject,feature_view,mean_ks,energy_distance,mmd_rbf
spline_pca,3,2,subject21,original,0.4767676767676767,1.6931110762113213,0.3459430227309025
spline_pca,3,2,subject21,reduced,0.44475308641975303,1.3772304923559275,0.29824355257323876
spline_pca,3,2,subject36,original,0.2722222222222222,0.6517195788099985,0.1365969401554552
spline_pca,3,2,subject36,reduced,0.2993827160493827,0.6805914696349258,0.15922435552521563
spline_pca,3,3,subject02,original,0.3734848484848484,0.7455504789584313,0.13473286951487717
spline_pca,3,3,subject02,reduced,0.34351851851851856,0.43955886580922865,0.09169286718879377
spline_pca,3,3,subject11,original,0.3012626262626263,0.7961798801990829,0.15099929524689737
spline_pca,3,3,subject11,reduced,0.3268518518518519,0.8291130136859515,0.1753704576181736
spline_pca,3,3,subject22,original,0.18434343434343436,0.2630774708964272,0.04421636556526565
spline_pca,3,3,subject22,reduced,0.19166666666666668,0.2679712924307136,0.05428693090744874
spline_pca,3,3,subject30,original,0.325,0.9479812477132872,0.18513000594457585
spline_pca,3,3,subject30,reduced,0.3453703703703704,0.9757552205862634,0.22699343487600898
spline_pca,3,3,subject33,original,0.3203168044077135,0.6223993097572245,0.11342432980866557
spline_pca,3,3,subject33,reduced,0.313047138047138,0.5329983521728074,0.11129031092524067
spline_pca,3,3,subject37,original,0.4292929292929294,2.1018648856295643,0.3850363482031709
spline_pca,3,3,subject37,reduced,0.4280864197530864,2.07712548129898,0.427567679757915
spline_pca,3,3,subject40,original,0.23888888888888893,0.3660733784213255,0.06617344220768473
spline_pca,3,3,subject40,reduced,0.24012345679012348,0.3468071313760852,0.07066523859829443
spline_pca,8,0,subject05,original,0.2744949494949495,0.9737167541712131,0.17221233863864138
spline_pca,8,0,subject05,reduced,0.26913580246913577,0.7594390866403691,0.19511429957152604
spline_pca,8,0,subject13,original,0.23080808080808082,0.8180989417095619,0.1262501369318213
spline_pca,8,0,subject13,reduced,0.23456790123456792,0.6860996807582689,0.137881941571233
spline_pca,8,0,subject19,original,0.31186868686868685,0.9413779535559552,0.15089061563175143
spline_pca,8,0,subject19,reduced,0.31419753086419755,0.720739588178664,0.17616381244349122
spline_pca,8,0,subject24,original,0.22702020202020207,0.48358646507498904,0.06430069459598975
spline_pca,8,0,subject24,reduced,0.1978395061728395,0.2845837814029668,0.05691324694965394
spline_pca,8,0,subject27,original,0.27070707070707073,0.8371491053103783,0.1852179441503048
spline_pca,8,0,subject27,reduced,0.2824074074074074,0.7891183661610968,0.2052307604857947
spline_pca,8,0,subject34,original,0.23560606060606062,0.5529623828410681,0.11895677819943618
spline_pca,8,0,subject34,reduced,0.2540123456790124,0.51885587919275,0.1378731629728006
spline_pca,8,0,subject35,original,0.30315362931642,0.8746693836370962,0.1335415586736406
spline_pca,8,0,subject35,reduced,0.2889104220499569,0.7249252356858125,0.1319228934180744
spline_pca,8,1,subject08,original,0.4459595959595959,2.702910502061363,0.3982248658403581
spline_pca,8,1,subject08,reduced,0.43672839506172845,2.6713469115528015,0.40371595979185054
spline_pca,8,1,subject18,original,0.2505050505050505,0.6055816821500457,0.10406863746335404
spline_pca,8,1,subject18,reduced,0.28302469135802466,0.6353715480304549,0.13347343297612269
spline_pca,8,1,subject23,original,0.22828282828282828,0.717525998681225,0.06720904615025924
spline_pca,8,1,subject23,reduced,0.2296296296296296,0.536741364875029,0.07590750391637902
spline_pca,8,1,subject25,original,0.22954545454545458,0.4148019158517622,0.061508310157640356
spline_pca,8,1,subject25,reduced,0.23734567901234568,0.4275137656802035,0.06988631714735938
spline_pca,8,1,subject26,original,0.3083333333333333,1.1899523535341903,0.1439004766678451
spline_pca,8,1,subject26,reduced,0.29845679012345677,1.047375724722278,0.1578469405026235
spline_pca,8,1,subject41,original,0.3195221445221445,1.1815837454907943,0.08161854812939584
spline_pca,8,1,subject41,reduced,0.32792022792022796,1.1904098474350397,0.10261572059603585
spline_pca,8,1,subject43,original,0.23282828282828286,0.6075734441469454,0.09071777252369784
spline_pca,8,1,subject43,reduced,0.24074074074074078,0.49545220411475466,0.10805922038275917
spline_pca,8,2,subject01,original,0.18914141414141417,0.29045815652038653,0.05583467065924874
spline_pca,8,2,subject01,reduced,0.20030864197530868,0.2929189180239846,0.06344581238609848
spline_pca,8,2,subject04,original,0.16313131313131313,0.3121427331531441,0.0474224077520371
spline_pca,8,2,subject04,reduced,0.1611111111111111,0.23078781549848948,0.046081655175680525
spline_pca,8,2,subject10,original,0.23611111111111116,0.5558439486491675,0.10967157519662019
spline_pca,8,2,subject10,reduced,0.24567901234567902,0.43463783215863927,0.1137133955696713
spline_pca,8,2,subject12,original,0.2871212121212121,0.6625374083448676,0.14199595326615255
spline_pca,8,2,subject12,reduced,0.2950617283950618,0.6197838012983636,0.15287142013562338
