fold,feature_a,feature_b,pooled_rho,median_within_rho
0,path_length,end_x,0.09515901608253677,0.09753337026713527
0,path_length,end_y,0.9421704300277398,0.9592799030565075
0,straight_line_dist,curvature_index,0.15775853103320486,0.11322983219646697
0,straight_line_dist,max_lateral_deviation,0.20994711040951036,0.18316198944151152
0,straight_line_dist,n_submovements,-0.03203177016283164,-0.0330448140569656
0,straight_line_dist,end_x,0.11559442294527839,0.07337469263454634
0,straight_line_dist,end_y,0.9959022783514697,0.9960924719898763
0,curvature_index,max_lateral_deviation,0.8886945854826419,0.8708264915161467
0,curvature_index,n_submovements,0.13013995810452395,0.12378534098916924
0,curvature_index,end_x,-0.014409603333376738,0.03613597410017139
0,curvature_index,end_y,0.17348770842414749,0.11857698100794654
0,max_lateral_deviation,n_submovements,0.04074611452854749,0.08306399463120653
0,max_lateral_deviation,end_x,-0.009427385765454656,0.05385987084711137
0,max_lateral_deviation,end_y,0.21784335279327025,0.1821043859378376
0,n_submovements,end_x,-0.005321060768373192,-0.029194961350554903
0,n_submovements,end_y,-0.02327941684488943,-0.03229245063882043
0,end_x,end_y,0.09359835663575689,0.05959443192691132
1,initiation_time_s,movement_time_s,-0.48860214837427285,-0.44930990294777046
1,initiation_time_s,peak_speed_tracker_units_s,0.34033411549080395,0.24304975721686034
1,initiation_time_s,time_to_peak_speed,-0.2497870495684909,-0.19428280700176198
1,initiation_time_s,path_length,-0.08571605953687542,-0.08561817129161443
1,initiation_time_s,straight_line_dist,-0.07559900136972122,-0.07928200032717117
1,initiation_time_s,curvature_index,-0.05346490955187642,-0.056109532980814635
1,initiation_time_s,max_lateral_deviation,0.015976490299964206,0.009950022107742776
1,initiation_time_s,n_submovements,-0.042986184694052514,-0.018850928028562485
1,initiation_time_s,end_x,0.049657407130532974,0.09246132574491865
1,initiation_time_s,end_y,-0.0957683756017782,-0.08999191656406977
1,movement_time_s,peak_speed_tracker_units_s,-0.7932196384394836,-0.7097727085371751
1,movement_time_s,time_to_peak_speed,0.10699378308892131,0.08700422576645696
1,movement_time_s,path_length,0.35552308584172687,0.3806308679380862
1,movement_time_s,straight_line_dist,0.3131667980414013,0.30282802644180273
1,movement_time_s,curvature_index,0.22093579787348805,0.13798458353600027
1,movement_time_s,max_lateral_deviation,0.12498001176959452,-0.0032487790996957476
1,movement_time_s,n_submovements,0.13393154367497614,0.1683913636491422
1,movement_time_s,end_x,-0.009466085424142462,-0.1604642233433289
1,movement_time_s,end_y,0.3451334847826873,0.32802585377892857
1,peak_speed_tracker_units_s,time_to_peak_speed,0.0625045048165142,0.1850011414361839
1,peak_speed_tracker_units_s,path_length,-0.10100837220990373,0.036709457938747594
1,peak_speed_tracker_units_s,straight_line_dist,-0.10049488410968171,0.020805831601127596
1,peak_speed_tracker_units_s,curvature_index,-0.014160846847133039,0.13018323724451528
1,peak_speed_tracker_units_s,max_lateral_deviation,0.0004469300819140168,0.13049168184203216
1,peak_speed_tracker_units_s,n_submovements,-0.10506504273632576,-0.13174854302026823
1,peak_speed_tracker_units_s,end_x,0.04144934289112314,0.12967227021692837
1,peak_speed_tracker_units_s,end_y,-0.12316633895154921,0.011094848942168058
1,time_to_peak_speed,path_length,0.04199220486104622,0.08933779806587411
1,time_to_peak_speed,straight_line_dist,0.06439358271914553,0.08959656618408268
1,time_to_peak_speed,curvature_index,-0.06362561064855146,0.02765047882760894
1,time_to_peak_speed,max_lateral_deviation,-0.04568082533933172,0.05759052291059481
1,time_to_peak_speed,n_submovements,-0.09060985315661568,-0.09276120552561791
1,time_to_peak_speed,end_x,-0.086556178963437,-0.018535091974996743
1,time_to_peak_speed,end_y,0.08213325455858686,0.0907680603426671
1,path_length,straight_line_dist,0.9705092390105708,0.9775151053478991
1,path_length,curvature_index,0.2821669378045195,0.23394549214481927
1,path_length,max_lateral_deviation,0.30244888061643427,0.21893062543082606
1,path_length,n_submovements,0.0735187217290764,0.0769577012350518
1,path_length,end_x,0.14999376188902983,0.10634278835766536
1,path_length,end_y,0.9686421341712954,0.982057530167414
1,straight_line_dist,curvature_index,0.12805700770577816,0.0446156430748554
1,straight_line_dist,max_lateral_deviation,0.17740236881037197,0.07480272024856734
1,straight_line_dist,n_submovements,0.027197572225776265,0.013460912966553292
1,straight_line_dist,end_x,0.13374626634117226,0.09936109139170962
1,straight_line_dist,end_y,0.9966445815142653,0.9968455816537547
1,curvature_index,max_lateral_deviation,0.8884564370634299,0.8594379111022523
1,curvature_index,n_submovements,0.11428172146481459,0.08723687859910384
1,curvature_index,end_x,0.09780865227614624,0.04577483380132959
1,curvature_index,end_y,0.13520381758528618,0.06190931818883299
1,max_lateral_deviation,n_submovements,0.06409340010228538,0.062398600664636775
1,max_lateral_deviation,end_x,0.143242732827604,0.07746329619226931
1,max_lateral_deviation,end_y,0.1797478334404765,0.07854563412451002
1,n_submovements,end_x,-0.01952630659285137,-0.041819966234572896
1,n_submovements,end_y,0.030179224807327404,0.01177829884573413
1,end_x,end_y,0.11818622959095487,0.09224358776505448
2,initiation_time_s,movement_time_s,-0.4767343863784087,-0.4042920512641415
2,initiation_time_s,peak_speed_tracker_units_s,0.33500642980568934,0.16341140960490597
2,initiation_time_s,time_to_peak_speed,-0.18536787771406524,-0.1876883632627247
2,initiation_time_s,path_length,-0.13508489461905032,-0.06634507343126385
2,initiation_time_s,straight_line_dist,-0.0888144390312471,0.019189687415841688
2,initiation_time_s,curvature_index,-0.1432505716366808,-0.018387322045678608
