run,family,dim,fold,seed,epoch,epochs_run,checkpoint_sha256,max_timing_error,max_mse_error,encoder_swap_change,decoder_swap_change,encoder_condition0_gradient,decoder_condition0_gradient,encoder_condition1_gradient,decoder_condition1_gradient,encoder_condition2_gradient,decoder_condition2_gradient,encoder_condition3_gradient,decoder_condition3_gradient,encoder_condition4_gradient,decoder_condition4_gradient
cvae\fold2\cvae_z3_seed44,cvae,3,2,44,39,64,3ada94c167176e381c15d946b1cd6d1500b3d66d1eac2e8f6a7da0520a2bbb02,4.242706297397092e-08,1.3052368164068184e-07,0.21438920497894287,0.6367257237434387,0.2084873765707016,36.971595764160156,0.2309717833995819,25.471744537353516,0.2504555583000183,21.637470245361328,0.24940501153469086,34.28749465942383,0.2099071890115738,74.83384704589844
cvae\fold2\cvae_z4_seed42,cvae,4,2,42,61,86,dda0e15a35cf77d15d37df580b9d8157599787a8f9b51330323f3cc0b1efcf5f,4.992675783910272e-08,3.5433959988395713e-08,0.1775512397289276,0.5428344011306763,0.27660250663757324,30.057802200317383,0.49588802456855774,21.04827308654785,0.40377485752105713,19.14794921875,0.14119185507297516,16.44544792175293,0.45120471715927124,45.51593017578125
cvae\fold2\cvae_z4_seed43,cvae,4,2,43,81,106,f37ace5848a4ef69cc6960ca018f63e32c9e99b18dd970a2c6d5ed833c7fffcd,4.7434997485495956e-08,1.1753845230444426e-07,0.1517491340637207,0.7099775075912476,0.34239697456359863,112.05809020996094,0.3546804189682007,84.82198333740234,0.40720999240875244,56.917442321777344,0.2519693374633789,39.91939926147461,0.4413129985332489,73.46837615966797
cvae\fold2\cvae_z4_seed44,cvae,4,2,44,108,133,65ed79ff7445d864f8499f4f64a043c3b6921e556d69f460b6e3688ab6684d1f,4.40017700054085e-08,9.413146973002995e-08,0.20991766452789307,0.5895647406578064,0.30679231882095337,105.27110290527344,0.4642733335494995,125.71536254882812,0.3682120144367218,91.90399169921875,0.1618730127811432,10.502694129943848,0.4161083996295929,65.30414581298828
cvae\fold2\cvae_z8_seed42,cvae,8,2,42,134,150,4548a79d8538b5095433049b803d1c61d567a3765ece3ff233d6107a22f26c17,4.9555969328096694e-08,2.4572754053764356e-08,0.20488108694553375,0.493843674659729,1.2659180164337158,53.70290756225586,1.0552936792373657,83.58873748779297,0.8309400677680969,75.34371948242188,0.35606685280799866,14.69596004486084,1.0287600755691528,82.90869140625
cvae\fold2\cvae_z8_seed43,cvae,8,2,43,115,140,f7003b953fd1fb89a4db94cd8b48507747bd3e0d7b29e9dc3ff349d999793ada,3.563385009286435e-08,2.5483703591788753e-08,0.2837017774581909,0.33684736490249634,1.4376335144042969,71.09739685058594,1.4966551065444946,66.19639587402344,1.5539436340332031,56.21345138549805,0.2808713912963867,16.27168083190918,2.0136640071868896,72.7278060913086
cvae\fold2\cvae_z8_seed44,cvae,8,2,44,147,150,5c4426e4926b6d428eadc102afc94191571d75966af5de538dbc515667fad4af,4.104003914484622e-08,3.577423091094545e-08,0.29964232444763184,0.3112466335296631,1.2532576322555542,127.79181671142578,1.0658289194107056,92.28987121582031,1.4391710758209229,74.07485961914062,0.6053735017776489,39.61510467529297,1.2096184492111206,136.5409698486328
cvae\fold3\cvae_z2_seed42,cvae,2,3,42,65,90,b5cb5a9d4cf282936cbe450a0ee105f44923b2f3dba1210bc0cb25962c7d15c8,2.998199466475171e-08,4.443969725542729e-07,0.46964195370674133,0.8448425531387329,1.4558477401733398,127.4627914428711,2.2688865661621094,248.09417724609375,2.515681028366089,186.14877319335938,2.535003185272217,128.94143676757812,3.2771575450897217,290.4833679199219
cvae\fold3\cvae_z2_seed43,cvae,2,3,43,121,146,cd765a7d2efc1d73ecbfa556bf352ddf16fb6f7829e4a234951a8b8429c3fe79,4.661865204980131e-08,8.099365231828415e-07,0.2390729784965515,2.2711246013641357,1.1389904022216797,171.8304901123047,0.46650102734565735,180.91683959960938,0.36785849928855896,495.2047119140625,0.4770772457122803,144.3727264404297,0.5971896052360535,469.7484130859375
cvae\fold3\cvae_z2_seed44,cvae,2,3,44,88,113,1807a835a6c7d10c0c2b9828a855240556b17c098b982d0308c36b91ca57a142,3.083190924790813e-08,3.0065918110722123e-07,0.16389840841293335,1.856673240661621,0.7406957149505615,242.72604370117188,0.46205127239227295,153.3358154296875,0.7864449620246887,310.3186950683594,0.6684586405754089,211.15553283691406,1.0246424674987793,106.11308288574219
cvae\fold3\cvae_z3_seed42,cvae,3,3,42,43,68,9d8cae72136478aaec350f461079ee4441b7a7f91842b57ede67b8c719b7db79,2.444534297207923e-08,2.416992188614131e-07,0.31485289335250854,0.6214488744735718,1.4223716259002686,111.03990173339844,0.7191489934921265,138.79617309570312,1.3573697805404663,61.30653381347656,0.9546342492103577,47.45030975341797,1.767777919769287,101.35502624511719
