check,passed,detail
conditional_ae\fold1\conditional_ae_z3_seed43/condition gradients,True,"{'encoder_condition0_gradient': 12.539341926574707, 'decoder_condition0_gradient': 37.530921936035156, 'encoder_condition1_gradient': 9.561779022216797, 'decoder_condition1_gradient': 53.259159088134766, 'encoder_condition2_gradient': 6.156616687774658, 'decoder_condition2_gradient': 66.35208892822266, 'encoder_condition3_gradient': 4.781692028045654, 'decoder_condition3_gradient': 38.493316650390625, 'encoder_condition4_gradient': 9.405888557434082, 'decoder_condition4_gradient': 124.2962646484375}"
conditional_ae\fold1\conditional_ae_z3_seed43/condition swap behaviour,True,
conditional_ae\fold1\conditional_ae_z3_seed44/effective flags,True,
conditional_ae\fold1\conditional_ae_z3_seed44/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed44/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed44/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed44/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold1\conditional_ae_z3_seed44/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold1\conditional_ae_z3_seed44/selected epoch,True,
conditional_ae\fold1\conditional_ae_z3_seed44/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold1\conditional_ae_z3_seed44/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold1\conditional_ae_z3_seed44/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed44/prediction IDs,True,
conditional_ae\fold1\conditional_ae_z3_seed44/true timing,True,max_abs_error=4.922790530770271e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed44/independent timing predictions,True,max_abs_error=4.614868154284579e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold1\conditional_ae_z3_seed44/independent trajectory MSE,True,max_abs_error=4.647216798048248e-07; atol=2e-06; rtol=2e-05
conditional_ae\fold1\conditional_ae_z3_seed44/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed44/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold1\conditional_ae_z3_seed44/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold1\conditional_ae_z3_seed44/variational sampling behaviour,True,
